"","id","gloss","type","language","utterance_order","corpus_name","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_age","media_start","media_end","media_unit","collection_name","collection_id","corpus_id","speaker_id","target_child_id","transcript_id","transcript_name","speaker"
"1",325768,"I wish I could","declarative","eng",990,"Valian","pro:sub v pro:sub mod","INV",NA,"Investigator",28.8548019466519,NA,NA,NA,"Eng-NA",2,33,1706,1704,3335,"Eng-NA/Valian/14b.xml","-CHI"
"2",334106,"I wish you wouldn't do that","declarative","eng",471,"Valian","pro:sub v pro:per mod v pro:dem","MOT",NA,"Mother",29.4605638719481,NA,NA,NA,"Eng-NA",2,33,1705,1704,3339,"Eng-NA/Valian/17a.xml","-CHI"
"3",366161,"don't you wish that you were in the water","question","eng",871,"Clark","mod pro:per v comp pro:per cop prep det:art n","INV","Cindy","Investigator",29.7562578287028,NA,NA,NA,"Eng-NA",2,35,1743,1741,3413,"Eng-NA/Clark/020523.xml","-CHI"
"4",373502,"I wish it were but it's not","declarative","eng",375,"Clark","pro:sub v pro:per cop conj pro:per neg","FAT",NA,"Father",34.8220702683833,NA,NA,NA,"Eng-NA",2,35,1744,1741,3433,"Eng-NA/Clark/021025b.xml","-CHI"
"5",374017,"why we can have lots_of good fun if you wish with a game that I call up up up with the fish","declarative","eng",87,"Clark","pro:int pro:sub mod v qn adj n conj pro:per v prep det:art n pro:rel pro:sub v adv adv adv prep det:art n","INV","Cindy","Investigator",35.0335735846732,NA,NA,NA,"Eng-NA",2,35,1743,1741,3435,"Eng-NA/Clark/021101b.xml","-CHI"
"6",374084,"I do not wish to fall","declarative","eng",91,"Clark","pro:sub mod neg v inf v","INV","Cindy","Investigator",35.0335735846732,NA,NA,NA,"Eng-NA",2,35,1743,1741,3435,"Eng-NA/Clark/021101b.xml","-CHI"
"7",375203,"I do not wish to go","declarative","eng",169,"Clark","pro:sub mod neg v inf v","INV","Cindy","Investigator",35.0335735846732,NA,NA,NA,"Eng-NA",2,35,1743,1741,3435,"Eng-NA/Clark/021101b.xml","-CHI"
"8",376634,"I wish it would rain harder and wash my car off","declarative","eng",12,"Clark","pro:sub v pro:per mod v adj coord v det:poss n adv","INV","Cindy","Investigator",36.4278527279821,NA,NA,NA,"Eng-NA",2,35,1743,1741,3442,"Eng-NA/Clark/030013.xml","-CHI"
"9",381367,"I wish someone would come over and play with me","declarative","eng",537,"Clark","pro:sub v pro:indef mod v adv coord n prep pro:obj","INV","Cindy","Investigator",35.329267541428,NA,NA,NA,"Eng-NA",2,35,1743,1741,3436,"Eng-NA/Clark/021110a.xml","-CHI"
"10",381531,"and I said how I wish we had something to do","declarative","eng",734,"Clark","coord pro:sub v pro:int pro:sub v pro:sub v pro:indef inf v","INV","Cindy","Investigator",35.0335735846732,NA,NA,NA,"Eng-NA",2,35,1743,1741,3434,"Eng-NA/Clark/021101a.xml","-CHI"
